date,available
2023-12-27,33
2023-12-28,43
2023-12-29,46
2023-12-30,48
2023-12-31,44
2024-01-01,45
2024-01-02,44
2024-01-03,46
2024-01-04,47
2024-01-05,45
2024-01-06,41
2024-01-07,42
2024-01-08,40
2024-01-09,40
2024-01-10,44
2024-01-11,43
2024-01-12,40
2024-01-13,43
2024-01-14,46
2024-01-15,46
2024-01-16,48
2024-01-17,47
2024-01-18,46
2024-01-19,48
2024-01-20,49
2024-01-21,50
2024-01-22,50
2024-01-23,49
2024-01-24,48
2024-01-25,49
2024-01-26,51
2024-01-27,52
2024-01-28,54
2024-01-29,56
2024-01-30,56
2024-01-31,54
2024-02-01,54
2024-02-02,57
2024-02-03,57
2024-02-04,60
2024-02-05,60
2024-02-06,59
2024-02-07,58
2024-02-08,58
2024-02-09,57
2024-02-10,58
2024-02-11,60
2024-02-12,60
2024-02-13,63
2024-02-14,61
2024-02-15,60
2024-02-16,58
2024-02-17,56
2024-02-18,59
2024-02-19,60
2024-02-20,59
2024-02-21,61
2024-02-22,61
2024-02-23,60
2024-02-24,62
2024-02-25,63
2024-02-26,65
2024-02-27,64
2024-02-28,64
2024-02-29,62
2024-03-01,60
2024-03-02,62
2024-03-03,61
2024-03-04,60
2024-03-05,61
2024-03-06,60
2024-03-07,60
2024-03-08,59
2024-03-09,62
2024-03-10,67
2024-03-11,67
2024-03-12,68
2024-03-13,67
2024-03-14,66
2024-03-15,62
2024-03-16,61
2024-03-17,61
2024-03-18,63
2024-03-19,63
2024-03-20,64
2024-03-21,62
2024-03-22,64
2024-03-23,67
2024-03-24,68
2024-03-25,69
2024-03-26,61
2024-03-27,61
2024-03-28,60
2024-03-29,58
2024-03-30,60
2024-03-31,61
2024-04-01,62
2024-04-02,63
2024-04-03,63
2024-04-04,61
2024-04-05,60
2024-04-06,59
2024-04-07,59
2024-04-08,59
2024-04-09,63
2024-04-10,63
2024-04-11,57
2024-04-12,53
2024-04-13,47
2024-04-14,47
2024-04-15,49
2024-04-16,62
2024-04-17,62
2024-04-18,62
2024-04-19,62
2024-04-20,63
2024-04-21,65
2024-04-22,66
2024-04-23,66
2024-04-24,66
2024-04-25,65
2024-04-26,64
2024-04-27,65
2024-04-28,65
2024-04-29,66
2024-04-30,66
2024-05-01,64
2024-05-02,66
2024-05-03,63
2024-05-04,64
2024-05-05,64
2024-05-06,68
2024-05-07,70
2024-05-08,70
2024-05-09,69
2024-05-10,66
2024-05-11,66
2024-05-12,67
2024-05-13,69
2024-05-14,71
2024-05-15,68
2024-05-16,64
2024-05-17,63
2024-05-18,65
2024-05-19,65
2024-05-20,67
2024-05-21,63
2024-05-22,57
2024-05-23,60
2024-05-24,63
2024-05-25,69
2024-05-26,76
2024-05-27,76
2024-05-28,73
2024-05-29,69
2024-05-30,67
2024-05-31,66
2024-06-01,71
2024-06-02,78
2024-06-03,79
2024-06-04,80
2024-06-05,80
2024-06-06,81
2024-06-07,79
2024-06-08,79
2024-06-09,80
2024-06-10,80
2024-06-11,80
2024-06-12,81
2024-06-13,81
2024-06-14,80
2024-06-15,80
2024-06-16,78
2024-06-17,78
2024-06-18,79
2024-06-19,79
2024-06-20,78
2024-06-21,79
2024-06-22,80
2024-06-23,81
2024-06-24,74
2024-06-25,73
2024-06-26,74
2024-06-27,75
2024-06-28,75
2024-06-29,75
2024-06-30,76
2024-07-01,76
2024-07-02,77
2024-07-03,76
2024-07-04,76
2024-07-05,76
2024-07-06,76
2024-07-07,75
2024-07-08,77
2024-07-09,77
2024-07-10,76
2024-07-11,77
2024-07-12,79
2024-07-13,78
2024-07-14,79
2024-07-15,79
2024-07-16,79
2024-07-17,79
2024-07-18,78
2024-07-19,76
2024-07-20,76
2024-07-21,78
2024-07-22,78
2024-07-23,79
2024-07-24,79
2024-07-25,79
2024-07-26,78
2024-07-27,78
2024-07-28,79
2024-07-29,79
2024-07-30,79
2024-07-31,79
2024-08-01,76
2024-08-02,77
2024-08-03,77
2024-08-04,77
2024-08-05,77
2024-08-06,77
2024-08-07,77
2024-08-08,79
2024-08-09,79
2024-08-10,79
2024-08-11,79
2024-08-12,79
2024-08-13,79
2024-08-14,79
2024-08-15,79
2024-08-16,80
2024-08-17,80
2024-08-18,80
2024-08-19,80
2024-08-20,80
2024-08-21,80
2024-08-22,80
2024-08-23,79
2024-08-24,79
2024-08-25,79
2024-08-26,79
2024-08-27,79
2024-08-28,79
2024-08-29,79
2024-08-30,79
2024-08-31,80
2024-09-01,81
2024-09-02,81
2024-09-03,81
2024-09-04,81
2024-09-05,82
2024-09-06,82
2024-09-07,82
2024-09-08,82
2024-09-09,82
2024-09-10,82
2024-09-11,83
2024-09-12,83
2024-09-13,82
2024-09-14,83
2024-09-15,83
2024-09-16,83
2024-09-17,83
2024-09-18,83
2024-09-19,83
2024-09-20,83
2024-09-21,83
2024-09-22,77
2024-09-23,77
2024-09-24,75
2024-09-25,75
2024-09-26,75
2024-09-27,74
2024-09-28,76
2024-09-29,77
2024-09-30,77
2024-10-01,77
2024-10-02,75
2024-10-03,75
2024-10-04,74
2024-10-05,76
2024-10-06,76
2024-10-07,76
2024-10-08,76
2024-10-09,76
2024-10-10,76
2024-10-11,76
2024-10-12,76
2024-10-13,75
2024-10-14,75
2024-10-15,74
2024-10-16,73
2024-10-17,73
2024-10-18,71
2024-10-19,72
2024-10-20,74
2024-10-21,76
2024-10-22,76
2024-10-23,76
2024-10-24,76
2024-10-25,75
2024-10-26,75
2024-10-27,75
2024-10-28,76
2024-10-29,76
2024-10-30,76
2024-10-31,76
2024-11-01,71
2024-11-02,72
2024-11-03,72
2024-11-04,72
2024-11-05,72
2024-11-06,72
2024-11-07,72
2024-11-08,71
2024-11-09,72
2024-11-10,72
2024-11-11,72
2024-11-12,72
2024-11-13,72
2024-11-14,72
2024-11-15,71
2024-11-16,72
2024-11-17,72
2024-11-18,72
2024-11-19,72
2024-11-20,72
2024-11-21,72
2024-11-22,71
2024-11-23,72
2024-11-24,72
2024-11-25,72
2024-11-26,72
2024-11-27,72
2024-11-28,72
2024-11-29,72
2024-11-30,73
2024-12-01,73
2024-12-02,73
2024-12-03,73
2024-12-04,73
2024-12-05,73
2024-12-06,73
2024-12-07,73
2024-12-08,73
2024-12-09,73
2024-12-10,73
2024-12-11,73
2024-12-12,73
2024-12-13,73
2024-12-14,72
2024-12-15,72
2024-12-16,73
2024-12-17,73
2024-12-18,73
2024-12-19,73
2024-12-20,73
2024-12-21,70
2024-12-22,70
2024-12-23,70
2024-12-24,70
2024-12-25,68
