date,available
2023-12-18,1
2023-12-19,82
2023-12-20,97
2023-12-21,92
2023-12-22,88
2023-12-23,89
2023-12-24,86
2023-12-25,83
2023-12-26,82
2023-12-27,81
2023-12-28,82
2023-12-29,80
2023-12-30,79
2023-12-31,87
2024-01-01,96
2024-01-02,108
2024-01-03,115
2024-01-04,110
2024-01-05,112
2024-01-06,112
2024-01-07,115
2024-01-08,116
2024-01-09,117
2024-01-10,119
2024-01-11,117
2024-01-12,115
2024-01-13,115
2024-01-14,114
2024-01-15,116
2024-01-16,116
2024-01-17,119
2024-01-18,120
2024-01-19,117
2024-01-20,116
2024-01-21,118
2024-01-22,117
2024-01-23,117
2024-01-24,117
2024-01-25,115
2024-01-26,115
2024-01-27,114
2024-01-28,119
2024-01-29,121
2024-01-30,119
2024-01-31,122
2024-02-01,119
2024-02-02,117
2024-02-03,119
2024-02-04,120
2024-02-05,122
2024-02-06,122
2024-02-07,123
2024-02-08,124
2024-02-09,121
2024-02-10,121
2024-02-11,121
2024-02-12,122
2024-02-13,122
2024-02-14,122
2024-02-15,120
2024-02-16,118
2024-02-17,119
2024-02-18,119
2024-02-19,124
2024-02-20,124
2024-02-21,125
2024-02-22,127
2024-02-23,127
2024-02-24,126
2024-02-25,126
2024-02-26,126
2024-02-27,126
2024-02-28,125
2024-02-29,127
2024-03-01,125
2024-03-02,127
2024-03-03,126
2024-03-04,127
2024-03-05,127
2024-03-06,128
2024-03-07,128
2024-03-08,127
2024-03-09,127
2024-03-10,128
2024-03-11,127
2024-03-12,127
2024-03-13,126
2024-03-14,125
2024-03-15,122
2024-03-16,124
2024-03-17,112
2024-03-18,110
2024-03-19,111
2024-03-20,111
2024-03-21,111
2024-03-22,110
2024-03-23,109
2024-03-24,110
2024-03-25,108
2024-03-26,110
2024-03-27,109
2024-03-28,110
2024-03-29,110
2024-03-30,109
2024-03-31,116
2024-04-01,109
2024-04-02,108
2024-04-03,107
2024-04-04,104
2024-04-05,106
2024-04-06,107
2024-04-07,110
2024-04-08,110
2024-04-09,109
2024-04-10,109
2024-04-11,101
