date,available
2023-12-19,37
2023-12-20,36
2023-12-21,28
2023-12-22,27
2023-12-23,32
2023-12-24,30
2023-12-25,30
2023-12-26,30
2023-12-27,35
2023-12-28,25
2023-12-29,11
2023-12-30,35
2023-12-31,33
2024-01-01,38
2024-01-02,40
2024-01-03,39
2024-01-04,38
2024-01-05,38
2024-01-06,38
2024-01-07,38
2024-01-08,39
2024-01-09,39
2024-01-10,40
2024-01-11,40
2024-01-12,39
2024-01-13,38
2024-01-14,38
2024-01-15,38
2024-01-16,39
2024-01-17,39
2024-01-18,39
2024-01-19,39
2024-01-20,39
2024-01-21,39
2024-01-22,39
2024-01-23,39
2024-01-24,39
2024-01-25,39
2024-01-26,39
2024-01-27,39
2024-01-28,39
2024-01-29,39
2024-01-30,39
2024-01-31,39
2024-02-01,38
2024-02-02,39
2024-02-03,39
2024-02-04,39
2024-02-05,40
2024-02-06,40
2024-02-07,41
2024-02-08,40
2024-02-09,40
2024-02-10,40
2024-02-11,40
2024-02-12,41
2024-02-13,43
2024-02-14,42
2024-02-15,41
2024-02-16,41
2024-02-17,41
2024-02-18,44
2024-02-19,45
2024-02-20,45
2024-02-21,45
2024-02-22,44
2024-02-23,45
2024-02-24,45
2024-02-25,45
2024-02-26,46
2024-02-27,47
2024-02-28,46
2024-02-29,47
2024-03-01,47
2024-03-02,47
2024-03-03,48
2024-03-04,48
2024-03-05,48
2024-03-06,48
2024-03-07,47
2024-03-08,47
2024-03-09,46
2024-03-10,47
2024-03-11,47
2024-03-12,48
2024-03-13,47
2024-03-14,46
2024-03-15,46
2024-03-16,47
2024-03-17,47
2024-03-18,47
2024-03-19,47
2024-03-20,46
2024-03-21,46
2024-03-22,46
2024-03-23,45
2024-03-24,46
2024-03-25,47
2024-03-26,47
2024-03-27,47
2024-03-28,47
2024-03-29,46
2024-03-30,46
2024-03-31,46
2024-04-01,47
2024-04-02,47
2024-04-03,48
2024-04-04,47
2024-04-05,47
2024-04-06,47
2024-04-07,47
2024-04-08,47
2024-04-09,47
2024-04-10,46
2024-04-11,46
2024-04-12,44
2024-04-13,44
2024-04-14,45
2024-04-15,46
2024-04-16,49
2024-04-17,49
2024-04-18,49
2024-04-19,49
2024-04-20,49
2024-04-21,49
2024-04-22,49
2024-04-23,49
2024-04-24,49
2024-04-25,49
2024-04-26,49
2024-04-27,49
2024-04-28,49
2024-04-29,48
2024-04-30,48
2024-05-01,48
2024-05-02,47
2024-05-03,48
2024-05-04,48
2024-05-05,48
2024-05-06,50
2024-05-07,51
2024-05-08,50
2024-05-09,49
2024-05-10,49
2024-05-11,49
2024-05-12,50
2024-05-13,51
2024-05-14,51
2024-05-15,51
2024-05-16,50
2024-05-17,49
2024-05-18,49
2024-05-19,50
2024-05-20,51
2024-05-21,51
2024-05-22,50
2024-05-23,50
2024-05-24,50
2024-05-25,51
2024-05-26,52
2024-05-27,52
2024-05-28,51
2024-05-29,51
2024-05-30,49
2024-05-31,50
2024-06-01,51
2024-06-02,53
2024-06-03,53
2024-06-04,52
2024-06-05,52
2024-06-06,52
2024-06-07,52
2024-06-08,52
2024-06-09,53
2024-06-10,53
2024-06-11,53
2024-06-12,53
2024-06-13,51
2024-06-14,51
2024-06-15,51
2024-06-16,51
2024-06-17,51
2024-06-18,50
2024-06-19,50
2024-06-20,50
2024-06-21,50
2024-06-22,50
2024-06-23,51
2024-06-24,51
2024-06-25,51
2024-06-26,51
2024-06-27,51
2024-06-28,51
2024-06-29,51
2024-06-30,51
2024-07-01,51
2024-07-02,50
2024-07-03,50
2024-07-04,50
2024-07-05,50
2024-07-06,50
2024-07-07,51
2024-07-08,51
2024-07-09,51
2024-07-10,51
2024-07-11,51
2024-07-12,51
2024-07-13,50
2024-07-14,51
2024-07-15,51
2024-07-16,52
2024-07-17,51
2024-07-18,50
2024-07-19,50
2024-07-20,51
2024-07-21,52
2024-07-22,52
2024-07-23,52
2024-07-24,52
2024-07-25,52
2024-07-26,52
2024-07-27,52
2024-07-28,52
2024-07-29,52
2024-07-30,52
2024-07-31,52
2024-08-01,52
2024-08-02,51
2024-08-03,51
2024-08-04,51
2024-08-05,52
2024-08-06,52
2024-08-07,52
2024-08-08,52
2024-08-09,52
2024-08-10,52
2024-08-11,52
2024-08-12,52
2024-08-13,52
2024-08-14,52
2024-08-15,52
2024-08-16,52
2024-08-17,52
2024-08-18,52
2024-08-19,52
2024-08-20,52
2024-08-21,52
2024-08-22,52
2024-08-23,52
2024-08-24,52
2024-08-25,52
2024-08-26,52
2024-08-27,52
2024-08-28,52
2024-08-29,52
2024-08-30,52
2024-08-31,52
2024-09-01,52
2024-09-02,53
2024-09-03,53
2024-09-04,53
2024-09-05,53
2024-09-06,53
2024-09-07,53
2024-09-08,53
2024-09-09,53
2024-09-10,53
2024-09-11,53
2024-09-12,53
2024-09-13,52
2024-09-14,52
2024-09-15,52
2024-09-16,52
2024-09-17,52
2024-09-18,52
2024-09-19,52
2024-09-20,52
2024-09-21,52
2024-09-22,52
2024-09-23,52
2024-09-24,52
2024-09-25,52
2024-09-26,52
2024-09-27,52
2024-09-28,52
2024-09-29,52
2024-09-30,52
2024-10-01,52
2024-10-02,52
2024-10-03,52
2024-10-04,52
2024-10-05,52
2024-10-06,52
2024-10-07,52
2024-10-08,52
2024-10-09,52
2024-10-10,52
2024-10-11,52
2024-10-12,52
2024-10-13,52
2024-10-14,52
2024-10-15,52
2024-10-16,52
2024-10-17,52
2024-10-18,52
2024-10-19,52
2024-10-20,52
2024-10-21,52
2024-10-22,52
2024-10-23,52
2024-10-24,52
2024-10-25,52
2024-10-26,52
2024-10-27,52
2024-10-28,52
2024-10-29,52
2024-10-30,52
2024-10-31,52
2024-11-01,52
2024-11-02,52
2024-11-03,52
2024-11-04,52
2024-11-05,52
2024-11-06,52
2024-11-07,52
2024-11-08,52
2024-11-09,52
2024-11-10,52
2024-11-11,53
2024-11-12,53
2024-11-13,53
2024-11-14,53
2024-11-15,53
2024-11-16,53
2024-11-17,53
2024-11-18,53
2024-11-19,53
2024-11-20,53
2024-11-21,53
2024-11-22,53
2024-11-23,53
2024-11-24,53
2024-11-25,53
2024-11-26,53
2024-11-27,53
2024-11-28,53
2024-11-29,53
2024-11-30,53
2024-12-01,53
2024-12-02,53
2024-12-03,53
2024-12-04,53
2024-12-05,53
2024-12-06,54
2024-12-07,54
2024-12-08,54
2024-12-09,54
2024-12-10,54
2024-12-11,54
2024-12-12,52
2024-12-13,52
2024-12-14,52
2024-12-15,52
2024-12-16,52
2024-12-17,48
