date,available
2023-12-18,0
2023-12-19,34
2023-12-20,35
2023-12-21,31
2023-12-22,31
2023-12-23,35
2023-12-24,36
2023-12-25,35
2023-12-26,35
2023-12-27,33
2023-12-28,34
2023-12-29,33
2023-12-30,35
2023-12-31,32
2024-01-01,32
2024-01-02,37
2024-01-03,39
2024-01-04,39
2024-01-05,40
2024-01-06,40
2024-01-07,39
2024-01-08,39
2024-01-09,39
2024-01-10,40
2024-01-11,41
2024-01-12,40
2024-01-13,38
2024-01-14,40
2024-01-15,38
2024-01-16,39
2024-01-17,35
2024-01-18,37
2024-01-19,36
2024-01-20,36
2024-01-21,36
2024-01-22,38
2024-01-23,37
2024-01-24,38
2024-01-25,38
2024-01-26,39
2024-01-27,35
2024-01-28,35
2024-01-29,36
2024-01-30,38
2024-01-31,39
2024-02-01,36
2024-02-02,36
2024-02-03,37
2024-02-04,37
2024-02-05,39
2024-02-06,39
2024-02-07,40
2024-02-08,40
2024-02-09,40
2024-02-10,39
2024-02-11,39
2024-02-12,39
2024-02-13,38
2024-02-14,37
2024-02-15,37
2024-02-16,36
2024-02-17,38
2024-02-18,38
2024-02-19,39
2024-02-20,39
2024-02-21,39
2024-02-22,40
2024-02-23,41
2024-02-24,41
2024-02-25,42
2024-02-26,42
2024-02-27,42
2024-02-28,41
2024-02-29,44
2024-03-01,45
2024-03-02,44
2024-03-03,45
2024-03-04,45
2024-03-05,46
2024-03-06,44
2024-03-07,44
2024-03-08,43
2024-03-09,42
2024-03-10,45
2024-03-11,46
2024-03-12,46
2024-03-13,46
2024-03-14,47
2024-03-15,46
2024-03-16,46
2024-03-17,47
2024-03-18,45
2024-03-19,47
2024-03-20,46
2024-03-21,45
2024-03-22,45
2024-03-23,44
2024-03-24,45
2024-03-25,46
2024-03-26,45
2024-03-27,45
2024-03-28,45
2024-03-29,46
2024-03-30,47
2024-03-31,44
2024-04-01,44
2024-04-02,43
2024-04-03,43
2024-04-04,43
2024-04-05,42
2024-04-06,42
2024-04-07,43
2024-04-08,46
2024-04-09,45
2024-04-10,45
2024-04-11,44
2024-04-12,37
2024-04-13,27
2024-04-14,26
2024-04-15,26
2024-04-16,43
2024-04-17,47
2024-04-18,47
2024-04-19,47
2024-04-20,47
2024-04-21,46
2024-04-22,47
2024-04-23,47
2024-04-24,47
2024-04-25,46
2024-04-26,45
2024-04-27,45
2024-04-28,45
2024-04-29,46
2024-04-30,47
2024-05-01,48
2024-05-02,46
2024-05-03,46
2024-05-04,46
2024-05-05,46
2024-05-06,49
2024-05-07,49
2024-05-08,49
2024-05-09,46
2024-05-10,46
2024-05-11,46
2024-05-12,48
2024-05-13,48
2024-05-14,50
2024-05-15,51
2024-05-16,48
2024-05-17,47
