date,available
2023-12-18,24
2023-12-19,28
2023-12-20,32
2023-12-21,29
2023-12-22,26
2023-12-23,26
2023-12-24,27
2023-12-25,26
2023-12-26,29
2023-12-27,31
2023-12-28,31
2023-12-29,29
2023-12-30,29
2023-12-31,32
2024-01-01,38
2024-01-02,43
2024-01-03,44
2024-01-04,44
2024-01-05,44
2024-01-06,43
2024-01-07,45
2024-01-08,44
2024-01-09,44
2024-01-10,44
2024-01-11,44
2024-01-12,40
2024-01-13,39
2024-01-14,42
2024-01-15,42
2024-01-16,43
2024-01-17,45
2024-01-18,45
2024-01-19,45
2024-01-20,45
2024-01-21,46
2024-01-22,46
2024-01-23,46
2024-01-24,46
2024-01-25,46
2024-01-26,46
2024-01-27,47
2024-01-28,45
2024-01-29,44
2024-01-30,44
2024-01-31,46
2024-02-01,46
2024-02-02,45
2024-02-03,45
2024-02-04,49
2024-02-05,49
2024-02-06,49
2024-02-07,49
2024-02-08,49
2024-02-09,49
2024-02-10,49
2024-02-11,48
2024-02-12,48
2024-02-13,48
2024-02-14,48
2024-02-15,48
2024-02-16,48
2024-02-17,48
2024-02-18,48
2024-02-19,47
2024-02-20,48
2024-02-21,47
2024-02-22,47
2024-02-23,48
2024-02-24,48
2024-02-25,48
2024-02-26,48
2024-02-27,48
2024-02-28,48
2024-02-29,49
2024-03-01,52
2024-03-02,53
2024-03-03,53
2024-03-04,53
2024-03-05,53
2024-03-06,53
2024-03-07,53
2024-03-08,53
2024-03-09,53
2024-03-10,54
2024-03-11,54
2024-03-12,55
2024-03-13,55
2024-03-14,55
2024-03-15,55
2024-03-16,45
2024-03-17,39
2024-03-18,39
2024-03-19,39
2024-03-20,38
2024-03-21,38
2024-03-22,38
2024-03-23,38
2024-03-24,38
2024-03-25,38
2024-03-26,38
2024-03-27,39
2024-03-28,39
2024-03-29,39
2024-03-30,39
2024-03-31,39
2024-04-01,40
2024-04-02,40
2024-04-03,40
2024-04-04,40
2024-04-05,40
2024-04-06,40
2024-04-07,40
2024-04-08,40
2024-04-09,40
2024-04-10,40
2024-04-11,40
2024-04-12,40
2024-04-13,40
2024-04-14,40
2024-04-15,40
2024-04-16,40
2024-04-17,40
2024-04-18,40
2024-04-19,39
2024-04-20,38
2024-04-21,39
2024-04-22,39
2024-04-23,39
2024-04-24,39
2024-04-25,39
2024-04-26,39
2024-04-27,39
2024-04-28,39
2024-04-29,38
2024-04-30,38
2024-05-01,38
2024-05-02,37
2024-05-03,38
2024-05-04,38
2024-05-05,38
2024-05-06,38
2024-05-07,39
2024-05-08,39
2024-05-09,39
2024-05-10,39
2024-05-11,39
2024-05-12,40
2024-05-13,40
2024-05-14,40
2024-05-15,39
2024-05-16,36
2024-05-17,36
2024-05-18,36
2024-05-19,36
2024-05-20,40
2024-05-21,40
2024-05-22,40
2024-05-23,40
2024-05-24,39
2024-05-25,39
2024-05-26,39
2024-05-27,40
2024-05-28,40
2024-05-29,40
2024-05-30,40
2024-05-31,41
2024-06-01,41
2024-06-02,42
2024-06-03,42
2024-06-04,42
2024-06-05,43
2024-06-06,43
2024-06-07,43
2024-06-08,43
2024-06-09,43
2024-06-10,43
2024-06-11,43
2024-06-12,43
2024-06-13,43
2024-06-14,33
2024-06-15,26
2024-06-16,26
2024-06-17,26
2024-06-18,26
2024-06-19,26
2024-06-20,26
2024-06-21,26
2024-06-22,25
2024-06-23,25
2024-06-24,25
2024-06-25,25
2024-06-26,25
2024-06-27,25
