date,available
2023-12-18,56
2023-12-19,75
2023-12-20,80
2023-12-21,75
2023-12-22,60
2023-12-23,48
2023-12-24,45
2023-12-25,47
2023-12-26,55
2023-12-27,64
2023-12-28,64
2023-12-29,61
2023-12-30,59
2023-12-31,63
2024-01-01,78
2024-01-02,83
2024-01-03,87
2024-01-04,87
2024-01-05,86
2024-01-06,90
2024-01-07,95
2024-01-08,98
2024-01-09,96
2024-01-10,99
2024-01-11,97
2024-01-12,88
2024-01-13,87
2024-01-14,88
2024-01-15,96
2024-01-16,98
2024-01-17,98
2024-01-18,96
2024-01-19,94
2024-01-20,92
2024-01-21,95
2024-01-22,101
2024-01-23,101
2024-01-24,99
2024-01-25,99
2024-01-26,97
2024-01-27,99
2024-01-28,99
2024-01-29,101
2024-01-30,101
2024-01-31,100
2024-02-01,99
2024-02-02,98
2024-02-03,101
2024-02-04,104
2024-02-05,106
2024-02-06,106
2024-02-07,105
2024-02-08,106
2024-02-09,104
2024-02-10,103
2024-02-11,104
2024-02-12,108
2024-02-13,108
2024-02-14,107
2024-02-15,108
2024-02-16,107
2024-02-17,106
2024-02-18,108
2024-02-19,109
2024-02-20,110
2024-02-21,110
2024-02-22,110
2024-02-23,107
2024-02-24,107
2024-02-25,111
2024-02-26,113
2024-02-27,113
2024-02-28,114
2024-02-29,114
2024-03-01,110
2024-03-02,110
2024-03-03,112
2024-03-04,114
2024-03-05,114
2024-03-06,115
2024-03-07,115
2024-03-08,112
2024-03-09,111
2024-03-10,112
2024-03-11,113
2024-03-12,111
2024-03-13,111
2024-03-14,109
2024-03-15,106
2024-03-16,101
2024-03-17,90
2024-03-18,95
2024-03-19,96
2024-03-20,96
2024-03-21,96
2024-03-22,92
2024-03-23,92
2024-03-24,93
2024-03-25,94
2024-03-26,93
2024-03-27,93
2024-03-28,91
2024-03-29,87
2024-03-30,88
2024-03-31,92
2024-04-01,92
2024-04-02,93
2024-04-03,94
2024-04-04,94
2024-04-05,88
2024-04-06,88
2024-04-07,95
2024-04-08,95
2024-04-09,93
2024-04-10,93
