date,available
2023-12-18,25
2023-12-19,31
2023-12-20,34
2023-12-21,35
2023-12-22,31
2023-12-23,31
2023-12-24,31
2023-12-25,32
2023-12-26,32
2023-12-27,33
2023-12-28,32
2023-12-29,31
2023-12-30,28
2023-12-31,30
2024-01-01,41
2024-01-02,41
2024-01-03,41
2024-01-04,46
2024-01-05,46
2024-01-06,47
2024-01-07,50
2024-01-08,50
2024-01-09,50
2024-01-10,50
2024-01-11,50
2024-01-12,50
2024-01-13,50
2024-01-14,49
2024-01-15,49
2024-01-16,49
2024-01-17,49
2024-01-18,49
2024-01-19,50
2024-01-20,49
2024-01-21,50
2024-01-22,50
2024-01-23,50
2024-01-24,50
2024-01-25,50
2024-01-26,50
2024-01-27,50
2024-01-28,52
2024-01-29,52
2024-01-30,52
2024-01-31,53
2024-02-01,51
2024-02-02,51
2024-02-03,51
2024-02-04,51
2024-02-05,51
2024-02-06,51
2024-02-07,51
2024-02-08,51
2024-02-09,51
2024-02-10,51
2024-02-11,51
2024-02-12,51
2024-02-13,51
2024-02-14,51
2024-02-15,51
2024-02-16,51
2024-02-17,52
2024-02-18,52
2024-02-19,52
2024-02-20,53
2024-02-21,53
2024-02-22,53
2024-02-23,53
2024-02-24,53
2024-02-25,53
2024-02-26,53
2024-02-27,53
2024-02-28,53
2024-02-29,53
2024-03-01,53
2024-03-02,52
2024-03-03,52
2024-03-04,52
2024-03-05,52
2024-03-06,52
2024-03-07,52
2024-03-08,52
2024-03-09,52
2024-03-10,52
2024-03-11,54
2024-03-12,54
2024-03-13,54
2024-03-14,54
2024-03-15,54
2024-03-16,49
2024-03-17,44
2024-03-18,44
2024-03-19,44
2024-03-20,44
2024-03-21,44
2024-03-22,44
2024-03-23,45
2024-03-24,45
2024-03-25,45
2024-03-26,44
2024-03-27,43
2024-03-28,43
2024-03-29,43
2024-03-30,43
2024-03-31,43
2024-04-01,44
2024-04-02,43
2024-04-03,43
2024-04-04,43
2024-04-05,43
2024-04-06,43
2024-04-07,43
2024-04-08,43
2024-04-09,42
2024-04-10,43
2024-04-11,43
2024-04-12,44
2024-04-13,44
2024-04-14,44
2024-04-15,44
2024-04-16,44
2024-04-17,46
2024-04-18,46
2024-04-19,46
2024-04-20,46
2024-04-21,46
2024-04-22,46
2024-04-23,46
2024-04-24,46
2024-04-25,46
2024-04-26,46
2024-04-27,46
2024-04-28,46
2024-04-29,46
2024-04-30,46
2024-05-01,47
2024-05-02,47
2024-05-03,47
2024-05-04,47
2024-05-05,47
2024-05-06,47
2024-05-07,47
2024-05-08,45
2024-05-09,45
2024-05-10,45
2024-05-11,45
2024-05-12,45
2024-05-13,45
2024-05-14,45
2024-05-15,44
2024-05-16,43
2024-05-17,43
2024-05-18,43
2024-05-19,44
2024-05-20,46
2024-05-21,46
2024-05-22,46
2024-05-23,45
2024-05-24,45
2024-05-25,45
2024-05-26,45
2024-05-27,46
2024-05-28,46
2024-05-29,46
2024-05-30,46
2024-05-31,46
2024-06-01,48
2024-06-02,48
2024-06-03,48
2024-06-04,48
2024-06-05,48
2024-06-06,48
2024-06-07,47
2024-06-08,47
2024-06-09,48
2024-06-10,47
2024-06-11,47
2024-06-12,47
2024-06-13,47
2024-06-14,46
2024-06-15,41
2024-06-16,41
2024-06-17,41
2024-06-18,41
2024-06-19,41
2024-06-20,41
2024-06-21,42
2024-06-22,40
2024-06-23,40
2024-06-24,40
2024-06-25,40
2024-06-26,42
2024-06-27,42
2024-06-28,42
2024-06-29,42
2024-06-30,42
2024-07-01,42
2024-07-02,42
2024-07-03,42
2024-07-04,42
2024-07-05,42
2024-07-06,42
2024-07-07,43
2024-07-08,43
2024-07-09,43
2024-07-10,43
2024-07-11,41
2024-07-12,41
2024-07-13,41
2024-07-14,41
2024-07-15,42
2024-07-16,42
2024-07-17,43
2024-07-18,43
2024-07-19,43
2024-07-20,44
2024-07-21,44
2024-07-22,44
2024-07-23,44
2024-07-24,44
2024-07-25,43
2024-07-26,43
2024-07-27,43
2024-07-28,43
