date,available
2023-12-18,57
2023-12-19,80
2023-12-20,85
2023-12-21,83
2023-12-22,81
2023-12-23,81
2023-12-24,83
2023-12-25,77
2023-12-26,80
2023-12-27,78
2023-12-28,74
2023-12-29,67
2023-12-30,69
2023-12-31,72
2024-01-01,82
2024-01-02,89
2024-01-03,91
2024-01-04,92
2024-01-05,94
2024-01-06,95
2024-01-07,97
2024-01-08,97
2024-01-09,97
2024-01-10,97
2024-01-11,97
2024-01-12,96
2024-01-13,96
2024-01-14,97
2024-01-15,97
2024-01-16,98
2024-01-17,99
2024-01-18,96
2024-01-19,96
2024-01-20,94
2024-01-21,88
2024-01-22,88
2024-01-23,88
2024-01-24,92
2024-01-25,97
2024-01-26,97
2024-01-27,98
2024-01-28,99
2024-01-29,100
2024-01-30,100
2024-01-31,99
2024-02-01,98
2024-02-02,98
2024-02-03,99
2024-02-04,98
2024-02-05,99
2024-02-06,100
2024-02-07,100
2024-02-08,100
2024-02-09,100
2024-02-10,100
2024-02-11,100
2024-02-12,100
2024-02-13,100
2024-02-14,100
2024-02-15,100
2024-02-16,100
2024-02-17,101
2024-02-18,100
2024-02-19,100
2024-02-20,100
2024-02-21,97
2024-02-22,93
2024-02-23,92
2024-02-24,92
2024-02-25,94
2024-02-26,101
2024-02-27,102
2024-02-28,102
2024-02-29,102
2024-03-01,101
2024-03-02,100
2024-03-03,101
2024-03-04,101
2024-03-05,101
2024-03-06,102
2024-03-07,102
2024-03-08,102
2024-03-09,102
2024-03-10,101
2024-03-11,102
2024-03-12,102
2024-03-13,102
2024-03-14,102
2024-03-15,102
2024-03-16,99
2024-03-17,91
2024-03-18,91
2024-03-19,87
2024-03-20,87
2024-03-21,87
2024-03-22,87
2024-03-23,87
2024-03-24,86
2024-03-25,86
2024-03-26,86
2024-03-27,86
2024-03-28,85
2024-03-29,83
2024-03-30,83
2024-03-31,85
2024-04-01,92
2024-04-02,92
2024-04-03,92
2024-04-04,92
2024-04-05,93
2024-04-06,93
2024-04-07,93
2024-04-08,93
2024-04-09,93
2024-04-10,91
2024-04-11,90
2024-04-12,89
2024-04-13,89
2024-04-14,90
2024-04-15,91
2024-04-16,91
2024-04-17,93
2024-04-18,93
2024-04-19,93
2024-04-20,93
2024-04-21,93
2024-04-22,93
2024-04-23,93
2024-04-24,91
2024-04-25,87
2024-04-26,87
2024-04-27,87
2024-04-28,89
2024-04-29,93
2024-04-30,92
2024-05-01,91
2024-05-02,90
2024-05-03,89
2024-05-04,89
2024-05-05,89
2024-05-06,91
2024-05-07,92
2024-05-08,92
2024-05-09,90
2024-05-10,90
2024-05-11,90
2024-05-12,90
2024-05-13,92
2024-05-14,92
2024-05-15,86
2024-05-16,86
2024-05-17,85
2024-05-18,85
2024-05-19,85
2024-05-20,85
2024-05-21,85
2024-05-22,87
2024-05-23,92
2024-05-24,92
2024-05-25,92
2024-05-26,92
2024-05-27,92
2024-05-28,92
2024-05-29,92
2024-05-30,90
2024-05-31,86
2024-06-01,85
2024-06-02,86
2024-06-03,88
2024-06-04,90
2024-06-05,91
2024-06-06,90
2024-06-07,90
2024-06-08,90
2024-06-09,91
2024-06-10,91
2024-06-11,92
2024-06-12,92
2024-06-13,92
2024-06-14,89
2024-06-15,72
2024-06-16,73
2024-06-17,73
2024-06-18,73
2024-06-19,72
2024-06-20,72
2024-06-21,72
2024-06-22,72
2024-06-23,71
2024-06-24,71
2024-06-25,71
2024-06-26,72
2024-06-27,72
2024-06-28,72
2024-06-29,71
2024-06-30,72
2024-07-01,73
2024-07-02,72
2024-07-03,72
2024-07-04,72
2024-07-05,72
2024-07-06,72
2024-07-07,72
2024-07-08,72
2024-07-09,72
2024-07-10,72
2024-07-11,74
2024-07-12,74
2024-07-13,74
2024-07-14,74
2024-07-15,74
2024-07-16,74
2024-07-17,74
2024-07-18,74
2024-07-19,74
2024-07-20,74
2024-07-21,74
2024-07-22,74
2024-07-23,74
2024-07-24,74
2024-07-25,74
2024-07-26,74
2024-07-27,74
2024-07-28,74
2024-07-29,74
2024-07-30,74
2024-07-31,74
2024-08-01,74
2024-08-02,74
2024-08-03,74
2024-08-04,74
2024-08-05,74
2024-08-06,74
2024-08-07,74
2024-08-08,73
2024-08-09,70
2024-08-10,70
2024-08-11,70
2024-08-12,73
2024-08-13,73
2024-08-14,74
2024-08-15,74
2024-08-16,74
2024-08-17,74
2024-08-18,74
2024-08-19,74
2024-08-20,74
2024-08-21,74
2024-08-22,74
2024-08-23,73
2024-08-24,73
2024-08-25,74
2024-08-26,74
2024-08-27,74
2024-08-28,74
2024-08-29,74
2024-08-30,74
2024-08-31,74
2024-09-01,74
2024-09-02,74
2024-09-03,74
2024-09-04,74
2024-09-05,74
2024-09-06,74
2024-09-07,74
2024-09-08,74
2024-09-09,74
2024-09-10,74
2024-09-11,73
2024-09-12,70
2024-09-13,51
2024-09-14,51
2024-09-15,51
2024-09-16,51
2024-09-17,51
2024-09-18,51
2024-09-19,51
2024-09-20,51
2024-09-21,51
2024-09-22,51
2024-09-23,51
2024-09-24,51
2024-09-25,51
2024-09-26,51
2024-09-27,51
2024-09-28,51
2024-09-29,51
2024-09-30,51
2024-10-01,51
2024-10-02,51
2024-10-03,51
2024-10-04,51
2024-10-05,51
2024-10-06,51
2024-10-07,51
2024-10-08,50
2024-10-09,47
2024-10-10,39
2024-10-11,32
2024-10-12,32
2024-10-13,33
2024-10-14,39
2024-10-15,48
2024-10-16,49
2024-10-17,50
2024-10-18,51
2024-10-19,51
2024-10-20,51
2024-10-21,51
2024-10-22,51
2024-10-23,50
2024-10-24,50
2024-10-25,50
2024-10-26,50
2024-10-27,51
2024-10-28,51
2024-10-29,51
2024-10-30,51
2024-10-31,51
2024-11-01,51
2024-11-02,51
2024-11-03,51
2024-11-04,51
2024-11-05,51
2024-11-06,51
2024-11-07,51
2024-11-08,51
