date,available
2023-12-18,34
2023-12-19,40
2023-12-20,38
2023-12-21,35
2023-12-22,31
2023-12-23,29
2023-12-24,29
2023-12-25,28
2023-12-26,31
2023-12-27,31
2023-12-28,32
2023-12-29,31
2023-12-30,31
2023-12-31,32
2024-01-01,45
2024-01-02,49
2024-01-03,51
2024-01-04,53
2024-01-05,53
2024-01-06,52
2024-01-07,53
2024-01-08,53
2024-01-09,54
2024-01-10,54
2024-01-11,54
2024-01-12,52
2024-01-13,53
2024-01-14,56
2024-01-15,56
2024-01-16,55
2024-01-17,55
2024-01-18,54
2024-01-19,53
2024-01-20,54
2024-01-21,57
2024-01-22,58
2024-01-23,57
2024-01-24,57
2024-01-25,56
2024-01-26,55
2024-01-27,55
2024-01-28,57
2024-01-29,58
2024-01-30,58
2024-01-31,58
2024-02-01,56
2024-02-02,56
2024-02-03,56
2024-02-04,56
2024-02-05,56
2024-02-06,56
2024-02-07,56
2024-02-08,55
2024-02-09,53
2024-02-10,53
2024-02-11,55
2024-02-12,55
2024-02-13,55
2024-02-14,55
2024-02-15,55
2024-02-16,55
2024-02-17,55
2024-02-18,56
2024-02-19,56
2024-02-20,56
2024-02-21,56
2024-02-22,55
2024-02-23,55
2024-02-24,55
2024-02-25,56
2024-02-26,55
2024-02-27,56
2024-02-28,56
2024-02-29,56
2024-03-01,56
2024-03-02,56
2024-03-03,56
2024-03-04,56
2024-03-05,58
2024-03-06,57
2024-03-07,55
2024-03-08,54
2024-03-09,54
2024-03-10,56
2024-03-11,57
2024-03-12,57
2024-03-13,57
2024-03-14,56
2024-03-15,54
2024-03-16,52
2024-03-17,46
2024-03-18,46
2024-03-19,47
2024-03-20,47
2024-03-21,46
2024-03-22,46
2024-03-23,46
2024-03-24,47
2024-03-25,47
2024-03-26,47
2024-03-27,47
2024-03-28,47
2024-03-29,46
2024-03-30,46
2024-03-31,48
2024-04-01,48
2024-04-02,48
2024-04-03,47
2024-04-04,46
2024-04-05,46
2024-04-06,47
2024-04-07,47
2024-04-08,47
2024-04-09,47
2024-04-10,48
2024-04-11,48
2024-04-12,48
2024-04-13,47
2024-04-14,47
2024-04-15,47
2024-04-16,48
2024-04-17,48
2024-04-18,48
2024-04-19,47
2024-04-20,47
2024-04-21,48
2024-04-22,48
2024-04-23,48
2024-04-24,48
2024-04-25,47
2024-04-26,47
2024-04-27,47
2024-04-28,48
2024-04-29,48
2024-04-30,48
2024-05-01,47
2024-05-02,47
2024-05-03,48
2024-05-04,48
2024-05-05,48
2024-05-06,47
2024-05-07,47
2024-05-08,47
2024-05-09,43
2024-05-10,43
2024-05-11,44
2024-05-12,45
2024-05-13,47
2024-05-14,47
2024-05-15,46
2024-05-16,46
2024-05-17,44
2024-05-18,44
2024-05-19,44
2024-05-20,44
2024-05-21,45
2024-05-22,45
2024-05-23,45
2024-05-24,45
2024-05-25,45
2024-05-26,45
2024-05-27,44
2024-05-28,43
2024-05-29,43
2024-05-30,42
2024-05-31,43
2024-06-01,43
2024-06-02,43
2024-06-03,44
2024-06-04,44
2024-06-05,45
2024-06-06,45
2024-06-07,41
2024-06-08,41
2024-06-09,42
2024-06-10,43
2024-06-11,44
2024-06-12,45
2024-06-13,43
2024-06-14,38
2024-06-15,31
2024-06-16,34
2024-06-17,33
2024-06-18,31
2024-06-19,31
2024-06-20,31
2024-06-21,31
2024-06-22,33
2024-06-23,33
2024-06-24,33
2024-06-25,32
2024-06-26,32
2024-06-27,32
2024-06-28,31
2024-06-29,31
2024-06-30,31
2024-07-01,31
2024-07-02,31
2024-07-03,31
2024-07-04,32
2024-07-05,32
2024-07-06,32
2024-07-07,32
2024-07-08,32
2024-07-09,32
2024-07-10,32
2024-07-11,32
2024-07-12,32
2024-07-13,32
2024-07-14,31
2024-07-15,31
2024-07-16,29
2024-07-17,29
2024-07-18,30
2024-07-19,31
2024-07-20,32
2024-07-21,32
2024-07-22,32
2024-07-23,32
2024-07-24,32
2024-07-25,33
2024-07-26,32
2024-07-27,32
2024-07-28,32
2024-07-29,32
2024-07-30,33
2024-07-31,33
2024-08-01,32
2024-08-02,32
2024-08-03,32
2024-08-04,32
2024-08-05,33
2024-08-06,33
2024-08-07,33
2024-08-08,32
2024-08-09,32
2024-08-10,32
2024-08-11,32
2024-08-12,32
2024-08-13,33
2024-08-14,34
2024-08-15,34
2024-08-16,34
2024-08-17,33
2024-08-18,32
2024-08-19,32
2024-08-20,32
2024-08-21,32
2024-08-22,32
2024-08-23,34
2024-08-24,34
2024-08-25,34
2024-08-26,34
2024-08-27,34
2024-08-28,34
2024-08-29,34
2024-08-30,34
2024-08-31,35
2024-09-01,35
2024-09-02,35
2024-09-03,35
2024-09-04,35
2024-09-05,35
2024-09-06,34
2024-09-07,34
2024-09-08,35
2024-09-09,35
2024-09-10,35
2024-09-11,35
2024-09-12,31
2024-09-13,28
2024-09-14,29
2024-09-15,29
2024-09-16,29
2024-09-17,29
2024-09-18,29
2024-09-19,29
2024-09-20,28
2024-09-21,28
2024-09-22,29
2024-09-23,29
2024-09-24,29
2024-09-25,28
2024-09-26,27
2024-09-27,27
2024-09-28,27
2024-09-29,27
2024-09-30,28
2024-10-01,29
2024-10-02,28
2024-10-03,28
2024-10-04,28
2024-10-05,28
2024-10-06,27
2024-10-07,27
2024-10-08,27
2024-10-09,25
2024-10-10,22
2024-10-11,22
2024-10-12,22
2024-10-13,23
2024-10-14,25
2024-10-15,27
2024-10-16,26
2024-10-17,28
2024-10-18,28
2024-10-19,28
2024-10-20,29
2024-10-21,29
2024-10-22,29
2024-10-23,29
2024-10-24,29
2024-10-25,28
2024-10-26,28
2024-10-27,29
2024-10-28,28
2024-10-29,28
2024-10-30,28
2024-10-31,28
2024-11-01,28
2024-11-02,28
2024-11-03,30
2024-11-04,30
2024-11-05,30
2024-11-06,30
2024-11-07,30
2024-11-08,30
2024-11-09,30
2024-11-10,30
2024-11-11,30
2024-11-12,30
2024-11-13,30
2024-11-14,30
2024-11-15,30
2024-11-16,30
2024-11-17,30
2024-11-18,30
2024-11-19,30
2024-11-20,30
2024-11-21,30
2024-11-22,30
2024-11-23,30
2024-11-24,30
2024-11-25,30
2024-11-26,30
2024-11-27,30
2024-11-28,30
2024-11-29,30
2024-11-30,30
2024-12-01,30
2024-12-02,30
2024-12-03,30
2024-12-04,30
2024-12-05,30
2024-12-06,30
2024-12-07,30
2024-12-08,30
2024-12-09,30
2024-12-10,30
2024-12-11,30
2024-12-12,30
2024-12-13,30
2024-12-14,30
2024-12-15,30
2024-12-16,17
